driver_id,date,hour,day_of_week,is_weekend,total_trips,total_canceled_trips,total_minutes_worked,total_earnings,average_surge,any_rain,weather,is_event,competition_index
D0010,2025-09-15,9,0,0,4,0,85,36.260000000000005,1.0067499999999998,0,clear,0,0.53
D0010,2025-09-15,10,0,0,2,0,37,16.35,1.0165,0,clear,0,0.53
D0010,2025-09-16,9,1,0,4,0,105,50.28,1.20525,1,rain,0,0.51
D0010,2025-09-16,10,1,0,3,0,75,35.36,1.2096666666666667,1,rain,0,0.51
D0010,2025-09-16,14,1,0,1,0,27,14.37,1.202,1,rain,0,0.51
D0010,2025-09-17,15,2,0,1,0,19,8.15,1.0,0,clear,0,0.65
D0010,2025-09-17,17,2,0,2,0,42,18.5,1.002,0,clear,0,0.65
D0010,2025-09-17,18,2,0,3,0,43,27.69,1.006,0,clear,0,0.65
D0010,2025-09-18,8,3,0,3,0,51,30.68,1.188,1,rain,0,0.47
D0010,2025-09-18,9,3,0,5,0,100,52.25,1.1858,1,rain,0,0.47
D0010,2025-09-19,8,4,0,3,1,78,39.31,1.286,1,rain,0,0.37
D0010,2025-09-19,9,4,0,4,0,82,52.47,1.29,1,rain,0,0.37
D0010,2025-09-19,10,4,0,1,0,11,8.37,1.282,1,rain,0,0.37
D0010,2025-09-20,8,5,1,3,0,71,37.370000000000005,1.1613333333333333,0,clear,1,0.41
D0010,2025-09-20,9,5,1,5,1,147,64.06,1.1724,0,clear,1,0.41
D0010,2025-09-20,10,5,1,1,0,28,11.13,1.167,0,clear,1,0.41
D0010,2025-09-21,8,6,1,9,1,211,108.76,1.2474444444444446,0,clear,1,0.44
D0010,2025-09-21,9,6,1,1,0,23,15.74,1.253,0,clear,1,0.44
D0010,2025-09-22,16,0,0,2,0,49,22.15,1.0215,0,clear,0,0.53
D0010,2025-09-22,17,0,0,5,0,91,45.31,1.0238,0,clear,0,0.53
D0010,2025-09-23,15,1,0,2,0,43,26.98,1.1099999999999999,1,rain,0,0.51
D0010,2025-09-23,16,1,0,2,0,58,30.240000000000002,1.123,1,rain,0,0.51
D0010,2025-09-23,17,1,0,3,0,35,26.02,1.1156666666666668,1,rain,0,0.51
D0010,2025-09-24,10,2,0,1,0,29,11.31,1.0,0,clear,0,0.65
D0010,2025-09-24,14,2,0,2,0,50,18.810000000000002,1.0,0,clear,0,0.65
D0010,2025-09-24,16,2,0,3,0,38,20.69,1.0,0,clear,0,0.65
D0010,2025-09-24,17,2,0,1,0,2,7.27,1.0,0,clear,0,0.65
D0010,2025-09-25,14,3,0,1,0,15,7.41,1.0,0,clear,0,0.58
D0010,2025-09-25,17,3,0,4,0,93,38.36,1.0,0,clear,0,0.58
D0010,2025-09-25,18,3,0,2,0,36,16.42,1.0,0,clear,0,0.58
D0010,2025-09-26,8,4,0,6,0,125,51.84,1.0103333333333333,0,clear,0,0.48
D0010,2025-09-26,9,4,0,2,0,41,17.669999999999998,1.0055,0,clear,0,0.48
D0010,2025-09-26,10,4,0,1,0,29,15.73,1.003,0,clear,0,0.48
D0010,2025-09-27,7,5,1,1,0,22,11.1,1.203,0,clear,1,0.41
D0010,2025-09-27,8,5,1,5,1,92,54.6,1.1945999999999999,0,clear,1,0.41
D0010,2025-09-27,9,5,1,4,0,76,38.7,1.19225,0,clear,1,0.41
D0010,2025-09-27,11,5,1,2,0,39,24.52,1.2085,0,clear,1,0.41
D0010,2025-09-28,17,6,1,4,0,56,39.17,1.199,0,clear,1,0.44
D0010,2025-09-28,18,6,1,5,1,116,61.76,1.1976,0,clear,1,0.44
