driver_id,date,hour,day_of_week,is_weekend,total_trips,total_canceled_trips,total_minutes_worked,total_earnings,average_surge,any_rain,weather,is_event,competition_index
D0004,2025-09-15,9,0,0,4,0,104,59.72,1.002,0,clear,0,0.53
D0004,2025-09-15,10,0,0,3,0,59,40.63,1.0,0,clear,0,0.53
D0004,2025-09-15,16,0,0,1,0,2,14.24,1.008,0,clear,0,0.53
D0004,2025-09-16,10,1,0,1,0,17,12.48,1.246,1,rain,0,0.51
D0004,2025-09-16,16,1,0,4,0,79,67.81,1.23675,1,rain,0,0.51
D0004,2025-09-16,17,1,0,3,0,29,47.59,1.2246666666666668,1,rain,0,0.51
D0004,2025-09-17,8,2,0,4,0,80,54.19,1.0,0,clear,0,0.65
D0004,2025-09-17,9,2,0,4,0,94,61.2,1.0,0,clear,0,0.65
D0004,2025-09-18,9,3,0,2,0,28,24.34,1.1575,1,rain,0,0.47
D0004,2025-09-18,10,3,0,2,0,41,27.47,1.1644999999999999,1,rain,0,0.47
D0004,2025-09-18,11,3,0,1,0,18,14.46,1.159,1,rain,0,0.47
D0004,2025-09-18,15,3,0,1,0,25,15.66,1.156,1,rain,0,0.47
D0004,2025-09-19,15,4,0,2,0,36,25.21,1.2545000000000002,1,rain,0,0.37
D0004,2025-09-19,17,4,0,6,0,136,105.19,1.2475,1,rain,0,0.37
D0004,2025-09-19,18,4,0,1,0,8,17.71,1.247,1,rain,0,0.37
D0004,2025-09-20,9,5,1,1,0,31,19.56,1.183,0,clear,1,0.41
D0004,2025-09-20,16,5,1,2,0,26,20.18,1.197,0,clear,1,0.41
D0004,2025-09-20,17,5,1,5,0,104,89.83,1.188,0,clear,1,0.41
D0004,2025-09-20,18,5,1,4,0,38,75.09,1.196,0,clear,1,0.41
D0004,2025-09-21,16,6,1,1,0,9,8.49,1.205,0,clear,1,0.44
D0004,2025-09-21,17,6,1,1,0,8,9.03,1.194,0,clear,1,0.44
D0004,2025-09-21,18,6,1,8,0,167,125.66,1.189,0,clear,1,0.44
D0004,2025-09-21,19,6,1,1,0,19,15.15,1.205,0,clear,1,0.44
D0004,2025-09-22,8,0,0,4,0,89,51.63,1.0,0,clear,0,0.53
D0004,2025-09-22,9,0,0,4,0,86,61.0,1.0,0,clear,0,0.53
D0004,2025-09-23,8,1,0,2,0,30,22.32,1.0845,1,rain,0,0.51
D0004,2025-09-23,9,1,0,2,0,44,30.32,1.0745,1,rain,0,0.51
D0004,2025-09-23,10,1,0,1,0,33,17.34,1.072,1,rain,0,0.51
D0004,2025-09-23,12,1,0,1,0,25,14.62,1.074,1,rain,0,0.51
D0004,2025-09-24,17,2,0,7,0,130,83.74,1.014142857142857,0,clear,0,0.65
D0004,2025-09-25,16,3,0,5,0,115,75.24,1.0012,0,clear,0,0.58
D0004,2025-09-25,17,3,0,2,0,13,19.29,1.009,0,clear,0,0.58
D0004,2025-09-26,8,4,0,7,0,168,91.25,1.0032857142857143,0,clear,0,0.48
D0004,2025-09-26,9,4,0,2,0,20,14.469999999999999,1.0005,0,clear,0,0.48
D0004,2025-09-27,10,5,1,1,0,15,11.18,1.211,0,clear,1,0.41
D0004,2025-09-27,14,5,1,1,0,33,23.4,1.207,0,clear,1,0.41
D0004,2025-09-27,15,5,1,1,0,23,18.93,1.222,0,clear,1,0.41
D0004,2025-09-27,16,5,1,2,0,28,24.95,1.2109999999999999,0,clear,1,0.41
D0004,2025-09-27,17,5,1,5,0,63,76.17999999999999,1.2134,0,clear,1,0.41
D0004,2025-09-28,16,6,1,1,0,21,17.23,1.266,0,clear,1,0.44
D0004,2025-09-28,17,6,1,2,0,57,41.84,1.256,0,clear,1,0.44
D0004,2025-09-28,18,6,1,7,0,168,131.6,1.2602857142857142,0,clear,1,0.44
D0004,2025-09-28,19,6,1,2,0,45,37.04,1.264,0,clear,1,0.44
D0004,2025-09-29,7,0,0,2,0,49,29.29,1.0205,0,clear,0,0.53
D0004,2025-09-29,8,0,0,1,0,15,9.47,1.021,0,clear,0,0.53
D0004,2025-09-29,9,0,0,4,0,109,66.07,1.015,0,clear,0,0.53
D0004,2025-09-30,17,1,0,3,0,57,39.86,1.031,0,clear,0,0.62
D0004,2025-09-30,18,1,0,4,0,76,51.71,1.0245,0,clear,0,0.62
D0004,2025-09-30,19,1,0,1,0,13,10.04,1.022,0,clear,0,0.62
D0004,2025-10-01,7,2,0,1,0,12,8.37,1.0,0,clear,0,0.65
D0004,2025-10-01,8,2,0,2,0,29,19.490000000000002,1.0,0,clear,0,0.65
D0004,2025-10-01,9,2,0,5,0,93,63.79,1.0,0,clear,0,0.65
D0004,2025-10-02,16,3,0,3,0,78,64.24,1.2326666666666666,1,rain,0,0.47
D0004,2025-10-02,17,3,0,4,0,55,65.83,1.23025,1,rain,0,0.47
