driver_id,date,hour,day_of_week,is_weekend,total_trips,total_canceled_trips,total_minutes_worked,total_earnings,average_surge,any_rain,weather,is_event,competition_index
D0005,2025-09-15,9,0,0,4,0,77,48.370000000000005,1.00275,0,clear,0,0.53
D0005,2025-09-15,10,0,0,3,0,68,36.72,1.0,0,clear,0,0.53
D0005,2025-09-16,9,1,0,4,0,84,59.92,1.1695,1,rain,0,0.51
D0005,2025-09-16,10,1,0,2,0,25,20.71,1.166,1,rain,0,0.51
D0005,2025-09-17,15,2,0,3,0,37,31.35,1.0,0,clear,0,0.65
D0005,2025-09-17,16,2,0,4,0,44,41.86,1.0,0,clear,0,0.65
D0005,2025-09-18,15,3,0,1,0,9,8.65,1.178,1,rain,0,0.47
D0005,2025-09-18,16,3,0,5,0,38,67.81,1.168,1,rain,0,0.47
D0005,2025-09-19,7,4,0,1,0,26,19.12,1.302,1,rain,0,0.37
D0005,2025-09-19,8,4,0,1,0,10,9.88,1.291,1,rain,0,0.37
D0005,2025-09-19,9,4,0,8,0,137,127.19,1.29025,1,rain,0,0.37
D0005,2025-09-20,8,5,1,9,0,184,129.52,1.2457777777777777,0,clear,1,0.41
D0005,2025-09-20,9,5,1,3,0,43,39.43,1.242,0,clear,1,0.41
D0005,2025-09-21,7,6,1,1,0,32,18.12,1.203,0,clear,1,0.44
D0005,2025-09-21,8,6,1,5,0,99,79.89,1.2056,0,clear,1,0.44
D0005,2025-09-21,9,6,1,3,0,82,50.57,1.2076666666666667,0,clear,1,0.44
D0005,2025-09-22,9,0,0,5,0,140,74.13,1.002,0,clear,0,0.53
D0005,2025-09-23,8,1,0,2,0,59,38.0,1.173,1,rain,0,0.51
D0005,2025-09-23,9,1,0,5,0,104,67.45,1.1658,1,rain,0,0.51
D0005,2025-09-23,10,1,0,1,0,13,10.7,1.161,1,rain,0,0.51
D0005,2025-09-24,15,2,0,1,0,27,12.98,1.0,0,clear,0,0.65
D0005,2025-09-24,16,2,0,5,0,105,60.16,1.0,0,clear,0,0.65
D0005,2025-09-24,17,2,0,1,0,25,12.8,1.0,0,clear,0,0.65
D0005,2025-09-25,10,3,0,4,0,94,53.019999999999996,1.0005,0,clear,0,0.58
D0005,2025-09-25,11,3,0,1,0,26,13.59,1.0,0,clear,0,0.58
D0005,2025-09-25,14,3,0,1,0,9,11.32,1.0,0,clear,0,0.58
D0005,2025-09-26,16,4,0,3,0,50,35.94,1.0439999999999998,0,clear,0,0.48
D0005,2025-09-26,17,4,0,5,0,57,53.89,1.0457999999999998,0,clear,0,0.48
D0005,2025-09-27,16,5,1,1,0,22,14.87,1.308,0,clear,1,0.41
D0005,2025-09-27,17,5,1,7,0,57,107.6,1.3167142857142857,0,clear,1,0.41
D0005,2025-09-28,16,6,1,2,0,33,30.87,1.208,0,clear,1,0.44
D0005,2025-09-28,17,6,1,2,0,31,23.75,1.2025000000000001,0,clear,1,0.44
D0005,2025-09-28,18,6,1,5,0,73,92.52,1.2044000000000001,0,clear,1,0.44
D0005,2025-09-29,8,0,0,3,0,56,37.18,1.0326666666666666,0,clear,0,0.53
D0005,2025-09-29,9,0,0,2,0,45,31.35,1.02,0,clear,0,0.53
D0005,2025-09-29,10,0,0,2,0,25,17.880000000000003,1.0339999999999998,0,clear,0,0.53
D0005,2025-09-30,17,1,0,4,0,91,50.33,1.007,0,clear,0,0.62
D0005,2025-09-30,18,1,0,2,0,29,17.83,1.009,0,clear,0,0.62
D0005,2025-10-01,9,2,0,4,0,92,60.5,1.0,0,clear,0,0.65
D0005,2025-10-01,10,2,0,2,0,19,19.28,1.0,0,clear,0,0.65
D0005,2025-10-01,11,2,0,1,0,16,9.79,1.0,0,clear,0,0.65
D0005,2025-10-02,15,3,0,1,0,21,15.73,1.322,1,rain,0,0.47
D0005,2025-10-02,16,3,0,3,0,48,58.57,1.328,1,rain,0,0.47
D0005,2025-10-02,17,3,0,2,0,8,39.26,1.326,1,rain,0,0.47
D0005,2025-10-03,7,4,0,1,0,14,10.69,1.07,0,clear,0,0.48
D0005,2025-10-03,8,4,0,3,0,89,50.47,1.0746666666666667,0,clear,0,0.48
D0005,2025-10-03,9,4,0,2,0,46,27.7,1.074,0,clear,0,0.48
D0005,2025-10-03,10,4,0,3,0,42,31.48,1.0823333333333334,0,clear,0,0.48
D0005,2025-10-04,17,5,1,7,0,150,105.11,1.215,0,clear,1,0.41
D0005,2025-10-04,18,5,1,5,0,128,88.36,1.2098,0,clear,1,0.41
D0005,2025-10-05,15,6,1,4,0,71,63.05,1.487,1,rain,1,0.33
D0005,2025-10-05,16,6,1,4,0,70,67.7,1.484,1,rain,1,0.33
D0005,2025-10-05,17,6,1,3,0,24,58.7,1.4806666666666668,1,rain,1,0.33
D0005,2025-10-06,16,0,0,1,0,23,12.8,1.0,0,clear,0,0.53
D0005,2025-10-06,17,0,0,1,0,30,15.11,1.0,0,clear,0,0.53
D0005,2025-10-06,18,0,0,5,0,98,55.04,1.0,0,clear,0,0.53
D0005,2025-10-06,19,0,0,1,0,12,9.5,1.0,0,clear,0,0.53
D0005,2025-10-07,8,1,0,5,0,81,70.25999999999999,1.2174,0,clear,1,0.62
D0005,2025-10-07,9,1,0,3,0,70,47.400000000000006,1.212,0,clear,1,0.62
D0005,2025-10-08,14,2,0,1,0,30,27.1,1.291,1,rain,0,0.54
D0005,2025-10-08,16,2,0,7,0,80,135.63,1.2904285714285713,1,rain,0,0.54
D0005,2025-10-09,8,3,0,2,0,61,39.71,1.0,0,clear,0,0.58
D0005,2025-10-09,9,3,0,5,0,76,64.58,1.0,0,clear,0,0.58
D0005,2025-10-10,17,4,0,5,0,96,72.17,1.0538,0,clear,0,0.48
D0005,2025-10-10,18,4,0,5,0,82,59.599999999999994,1.0624,0,clear,0,0.48
D0005,2025-10-11,7,5,1,1,0,19,18.15,1.23,0,clear,1,0.41
D0005,2025-10-11,8,5,1,4,0,76,60.61,1.23625,0,clear,1,0.41
D0005,2025-10-11,9,5,1,4,0,82,59.52,1.23725,0,clear,1,0.41
D0005,2025-10-11,10,5,1,1,0,21,13.55,1.23,0,clear,1,0.41
D0005,2025-10-12,14,6,1,1,0,30,20.32,1.202,0,clear,1,0.44
D0005,2025-10-12,15,6,1,3,0,66,42.980000000000004,1.202,0,clear,1,0.44
D0005,2025-10-12,16,6,1,1,0,10,9.18,1.191,0,clear,1,0.44
D0005,2025-10-12,17,6,1,6,0,89,83.16,1.1956666666666667,0,clear,1,0.44
D0005,2025-10-13,10,0,0,6,0,141,103.7,1.2558333333333334,1,rain,0,0.42
D0005,2025-10-13,11,0,0,1,0,23,15.44,1.27,1,rain,0,0.42
D0005,2025-10-14,8,1,0,3,0,56,32.03,1.0,0,clear,0,0.62
D0005,2025-10-14,9,1,0,3,0,49,30.96,1.0,0,clear,0,0.62
D0005,2025-10-15,10,2,0,4,0,61,39.18,1.0,0,clear,0,0.65
D0005,2025-10-15,11,2,0,2,0,30,20.84,1.0,0,clear,0,0.65
D0005,2025-10-15,15,2,0,1,0,24,16.18,1.0,0,clear,0,0.65
D0005,2025-10-16,8,3,0,2,0,64,39.14,1.0034999999999998,0,clear,0,0.58
D0005,2025-10-16,9,3,0,5,0,81,50.44,1.0068,0,clear,0,0.58
D0005,2025-10-17,17,4,0,5,0,112,66.39,1.0006,0,clear,0,0.48
D0005,2025-10-17,18,4,0,3,0,32,42.25,1.0,0,clear,0,0.48
D0005,2025-10-18,10,5,1,4,0,74,59.900000000000006,1.251,0,clear,1,0.41
D0005,2025-10-18,11,5,1,1,0,30,18.54,1.246,0,clear,1,0.41
D0005,2025-10-18,15,5,1,4,0,41,56.36,1.245,0,clear,1,0.41
D0005,2025-10-18,16,5,1,1,0,3,13.36,1.248,0,clear,1,0.41
D0005,2025-10-19,16,6,1,9,0,153,143.79,1.3392222222222223,0,clear,1,0.44
D0005,2025-10-19,17,6,1,3,0,12,54.79,1.3333333333333333,0,clear,1,0.44
D0005,2025-10-20,17,0,0,3,0,66,41.61,1.117,1,rain,0,0.42
D0005,2025-10-20,18,0,0,3,0,65,38.86,1.1113333333333333,1,rain,0,0.42
D0005,2025-10-20,19,0,0,1,0,9,11.04,1.111,1,rain,0,0.42
D0005,2025-10-21,15,1,0,1,0,28,13.78,1.0,0,clear,0,0.62
D0005,2025-10-21,16,1,0,1,0,8,7.62,1.0,0,clear,0,0.62
D0005,2025-10-21,17,1,0,6,0,116,73.25999999999999,1.0,0,clear,0,0.62
D0005,2025-10-22,9,2,0,5,0,97,54.73,1.0,0,clear,0,0.65
D0005,2025-10-22,10,2,0,1,0,19,11.77,1.0,0,clear,0,0.65
D0005,2025-10-23,8,3,0,2,0,26,17.729999999999997,1.0,0,clear,0,0.58
D0005,2025-10-23,9,3,0,4,0,68,44.53,1.0,0,clear,0,0.58
D0005,2025-10-23,10,3,0,1,0,31,15.68,1.0,0,clear,0,0.58
D0005,2025-10-24,8,4,0,7,0,151,88.16,1.0055714285714286,0,clear,0,0.48
D0005,2025-10-24,9,4,0,2,0,42,27.580000000000002,1.0105,0,clear,0,0.48
D0005,2025-10-25,8,5,1,2,0,33,24.65,1.1800000000000002,0,clear,1,0.41
D0005,2025-10-25,9,5,1,8,0,144,107.67,1.1748750000000001,0,clear,1,0.41
D0005,2025-10-25,10,5,1,2,0,57,32.730000000000004,1.1785,0,clear,1,0.41
D0005,2025-10-26,8,6,1,5,0,97,100.89,1.637,1,rain,1,0.33
D0005,2025-10-26,9,6,1,3,0,77,65.24000000000001,1.623,1,rain,1,0.33
D0005,2025-10-26,10,6,1,2,0,38,35.14,1.638,1,rain,1,0.33
