driver_id,trip_id,date,pickup_timestamp,dropoff_timestamp,is_canceled,is_weekend,is_rain,is_event,pickup_zone,pickup_zone_name,dropoff_zone,dropoff_zone_name,surge_multiplier,surge_applied,distance_km,duration_min,fare_base,fare_time,fare_distance,fare_total,tip_amount,cancel_fee,service_fee,driver_earnings,pickup_lat,pickup_lng,dropoff_lat,dropoff_lng
D0008,d3cc4463-3477-413c-a0b8-51be9c1405c6,2025-09-15,2025-09-15T17:02:00,2025-09-15T17:20:00,0,0,0,0,PARRA,Parramatta,PARRA,Parramatta,1.02,1,7.11,18,4.77,1.6,6.19,12.81,0.0,0.0,3.11,9.7,-33.853616,151.005965,-33.803563,150.956955
D0008,5a6079c2-d1af-4fdf-935d-30a6b063c877,2025-09-15,2025-09-15T17:42:00,2025-09-15T17:51:00,0,0,0,0,NORTH,Lower North Shore,NORTH,Lower North Shore,1.026,1,3.09,9,4.77,0.8,2.69,8.47,0.0,0.0,2.05,6.42,-33.81841,151.194535,-33.814089,151.232387
D0008,65ae4313-7d61-4ba6-9c37-febcb0b0fdaa,2025-09-15,2025-09-15T17:48:00,2025-09-15T17:58:00,0,0,0,0,EAST,Eastern Suburbs,EAST,Eastern Suburbs,1.026,1,3.11,10,4.77,0.89,2.71,8.59,0.0,0.0,2.08,6.51,-33.897427,151.244944,-33.900814,151.267182
D0008,797604d7-a7c0-4b54-bc34-62ecc6a33b80,2025-09-15,2025-09-15T18:11:00,2025-09-15T18:45:00,0,0,0,0,PARRA,Parramatta,PARRA,Parramatta,1.02,1,9.73,34,4.77,3.01,8.47,16.57,3.22,0.0,4.02,15.77,-33.81321,150.988979,-33.785575,151.024183
D0008,f1fe2b83-153b-4872-824f-28c7a534a7bc,2025-09-15,2025-09-15T18:18:00,2025-09-15T18:47:00,0,0,0,0,PARRA,Parramatta,WEST,Western Sydney,1.02,1,12.45,29,4.77,2.57,10.84,18.54,0.0,0.0,4.5,14.04,-33.850702,151.016726,-33.789366,150.793474
D0008,3172fb79-d4b0-48f0-8195-f68a1a6635c2,2025-09-15,2025-09-15T18:38:00,2025-09-15T18:47:00,0,0,0,0,CBD,CBD & Haymarket,CBD,CBD & Haymarket,1.035,1,2.81,9,4.77,0.8,2.45,8.3,0.0,0.0,2.01,6.29,-33.890585,151.190156,-33.885238,151.209006
D0008,483dda1f-3aaa-45fb-8b54-5a7d01601d9f,2025-09-15,2025-09-15T18:49:00,2025-09-15T19:08:00,0,0,0,0,CBD,CBD & Haymarket,CBD,CBD & Haymarket,1.035,1,5.52,19,4.77,1.68,4.8,11.65,0.0,0.0,2.83,8.82,-33.864517,151.217544,-33.873179,151.1927
D0008,61db137b-94cc-4512-90f1-0bb9669a93d5,2025-09-15,2025-09-15T19:04:00,2025-09-15T19:30:00,0,0,0,0,CBD,CBD & Haymarket,NB,Northern Beaches,1.035,1,11.05,26,4.77,2.31,9.62,17.29,0.0,0.0,4.19,13.1,-33.885435,151.211445,-33.704518,151.324137
D0008,62fdace8-fb24-4582-af88-2c9adb91c1f7,2025-09-15,2025-09-15T19:04:00,2025-09-15T19:35:00,0,0,0,0,EAST,Eastern Suburbs,PARRA,Parramatta,1.026,1,11.55,31,4.77,2.75,10.05,18.03,0.0,0.0,4.37,13.66,-33.867289,151.275356,-33.84487,151.010861
D0008,4a7c8f6d-c3f6-4e41-be6a-17bbaa6e3578,2025-09-15,2025-09-15T19:29:00,2025-09-15T20:03:00,0,0,0,0,NB,Northern Beaches,NB,Northern Beaches,1.017,1,12.57,34,4.77,3.01,10.94,19.03,0.0,0.0,4.62,14.41,-33.7257,151.297533,-33.735103,151.264126
