driver_id,trip_id,date,pickup_timestamp,dropoff_timestamp,is_canceled,is_weekend,is_rain,is_event,pickup_zone,pickup_zone_name,dropoff_zone,dropoff_zone_name,surge_multiplier,surge_applied,distance_km,duration_min,fare_base,fare_time,fare_distance,fare_total,tip_amount,cancel_fee,service_fee,driver_earnings,pickup_lat,pickup_lng,dropoff_lat,dropoff_lng
D0010,ba634aca-acc7-45f6-ab35-9a05fc09b3bf,2025-09-15,2025-09-15T09:19:00,2025-09-15T09:50:00,0,0,0,0,EAST,Eastern Suburbs,EAST,Eastern Suburbs,1.012,1,10.96,31,5.09,3.14,7.88,16.31,0.0,0.0,4.66,11.65,-33.884396,151.232383,-33.858252,151.245602
D0010,2fc99f0f-c6a2-4356-bb00-4e6cf75dd793,2025-09-15,2025-09-15T09:23:00,2025-09-15T09:45:00,0,0,0,0,INNER,Inner West,INNER,Inner West,1.009,1,7.78,22,5.09,2.23,5.6,13.04,0.0,0.0,3.72,9.32,-33.884571,151.176707,-33.876732,151.109526
D0010,3bcaad07-50fc-4455-a861-e2a95a668cbb,2025-09-15,2025-09-15T09:34:00,2025-09-15T09:49:00,0,0,0,0,WEST,Western Sydney,WEST,Western Sydney,1.003,1,4.63,15,5.09,1.52,3.33,9.97,0.0,0.0,2.85,7.12,-33.830147,150.80948,-33.72532,150.819333
D0010,d56ba9a0-4166-4601-998d-7594b71bde1a,2025-09-15,2025-09-15T09:51:00,2025-09-15T10:08:00,0,0,0,0,WEST,Western Sydney,WEST,Western Sydney,1.003,1,6.38,17,5.09,1.72,4.59,11.43,0.0,0.0,3.26,8.17,-33.815777,150.786918,-33.76059,150.839794
D0010,d136d079-5a2c-46ff-b2a3-502e95cae804,2025-09-15,2025-09-15T10:08:00,2025-09-15T10:26:00,0,0,0,0,CBD,CBD & Haymarket,CBD,CBD & Haymarket,1.021,1,5.03,18,5.09,1.82,3.62,10.76,0.0,0.0,3.07,7.69,-33.890035,151.220682,-33.855127,151.18112
D0010,7b56578f-9e99-4726-a088-046adad9a7f5,2025-09-15,2025-09-15T10:41:00,2025-09-15T11:00:00,0,0,0,0,EAST,Eastern Suburbs,EAST,Eastern Suburbs,1.012,1,6.89,19,5.09,1.92,4.96,12.12,0.0,0.0,3.46,8.66,-33.909036,151.23328,-33.90717,151.236072
D0010,4ec47739-c452-4bf8-9791-2969257cd53d,2025-09-16,2025-09-16T09:28:00,2025-09-16T09:52:00,0,0,1,0,EAST,Eastern Suburbs,EAST,Eastern Suburbs,1.21,1,6.43,24,5.09,2.43,4.63,14.7,0.0,0.0,4.2,10.5,-33.910621,151.243369,-33.911741,151.277181
D0010,42ba66e5-a45a-4509-a9e6-a9c6490418ad,2025-09-16,2025-09-16T09:35:00,2025-09-16T10:00:00,0,0,1,0,NORTH,Lower North Shore,NORTH,Lower North Shore,1.21,1,9.57,25,5.09,2.53,6.88,17.54,0.0,0.0,5.01,12.53,-33.859837,151.210841,-33.814882,151.181377
D0010,aaf33ebf-f797-4883-ba0e-7466ea675cee,2025-09-16,2025-09-16T09:41:00,2025-09-16T10:14:00,0,0,1,0,NB,Northern Beaches,NB,Northern Beaches,1.199,1,11.76,33,5.09,3.34,8.46,20.24,0.0,0.0,5.78,14.46,-33.698695,151.303199,-33.700324,151.304022
D0010,389c8597-9960-4db1-9b50-c57ed06836b2,2025-09-16,2025-09-16T09:45:00,2025-09-16T10:08:00,0,0,1,0,PARRA,Parramatta,NORTH,Lower North Shore,1.202,1,10.38,23,5.09,2.33,7.47,17.9,0.0,0.0,5.11,12.79,-33.780669,151.012271,-33.861719,151.212033
