driver_id,trip_id,date,pickup_timestamp,dropoff_timestamp,is_canceled,is_weekend,is_rain,is_event,pickup_zone,pickup_zone_name,dropoff_zone,dropoff_zone_name,surge_multiplier,surge_applied,distance_km,duration_min,fare_base,fare_time,fare_distance,fare_total,tip_amount,cancel_fee,service_fee,driver_earnings,pickup_lat,pickup_lng,dropoff_lat,dropoff_lng
D0009,f1d0119c-93cc-4f70-848e-a2e37072dfe5,2025-09-15,2025-09-15T10:12:00,2025-09-15T10:27:00,0,0,0,0,WEST,Western Sydney,WEST,Western Sydney,1.0,0,5.11,15,5.0,2.24,3.81,11.05,0.0,0.0,2.66,8.39,-33.825157,150.806,-33.726666,150.838707
D0009,d09ecaeb-16eb-4905-8a68-848c647e752b,2025-09-15,2025-09-15T10:24:00,2025-09-15T10:52:00,0,0,0,0,CBD,CBD & Haymarket,CBD,CBD & Haymarket,1.0,0,7.55,28,5.0,4.17,5.62,14.79,0.0,0.0,3.56,11.23,-33.865047,151.181974,-33.884753,151.215686
D0009,821e23d4-4aad-4987-bce4-0a887e3554fa,2025-09-15,2025-09-15T10:32:00,2025-09-15T11:06:00,0,0,0,0,EAST,Eastern Suburbs,EAST,Eastern Suburbs,1.0,0,9.62,34,5.0,5.07,7.17,17.24,3.22,0.0,4.15,16.31,-33.904322,151.27464,-33.882441,151.261284
D0009,b162fa4e-9c0f-42c7-ada1-80d270a74404,2025-09-15,2025-09-15T10:50:00,2025-09-15T11:23:00,0,0,0,0,NORTH,Lower North Shore,NORTH,Lower North Shore,1.0,0,10.95,33,5.0,4.92,8.16,18.08,0.0,0.0,4.35,13.73,-33.819585,151.175541,-33.795284,151.198761
D0009,c30dc12c-4314-4964-a9ba-fc847454b215,2025-09-15,2025-09-15T11:40:00,2025-09-15T12:02:00,0,0,0,0,SOUTH,St George & Shire,SOUTH,St George & Shire,1.0,0,7.74,22,5.0,3.28,5.76,14.04,0.0,0.0,3.38,10.66,-34.007694,151.001168,-34.038756,151.059081
D0009,e5944d4a-5f5e-4e83-93f6-b2d160cbeab3,2025-09-15,2025-09-15T14:50:00,2025-09-15T15:11:00,0,0,0,0,PARRA,Parramatta,PARRA,Parramatta,1.0,0,8.31,21,5.0,3.13,6.19,14.32,0.0,0.0,3.44,10.88,-33.822905,150.983507,-33.842343,150.976972
D0009,37702296-63c2-4180-a424-3c66548dba4a,2025-09-16,2025-09-16T15:16:00,2025-09-16T15:40:00,0,0,1,0,CBD,CBD & Haymarket,SOUTH,St George & Shire,1.239,1,7.85,24,5.0,3.58,5.85,17.87,0.0,0.0,4.3,13.57,-33.863589,151.176194,-34.004316,151.074522
D0009,d3cc024f-3e59-4fcc-99ab-e70792aac69d,2025-09-16,2025-09-16T16:39:00,2025-09-16T16:48:00,0,0,1,0,NB,Northern Beaches,NB,Northern Beaches,1.216,1,2.73,9,5.0,1.34,2.03,10.18,0.0,0.0,2.45,7.73,-33.750217,151.294878,-33.760918,151.279606
D0009,006eaade-cf09-452b-98c0-d52c3a0d3ee6,2025-09-16,2025-09-16T16:39:00,2025-09-16T17:01:00,0,0,1,0,INNER,Inner West,INNER,Inner West,1.224,1,7.25,22,5.0,3.28,5.4,16.74,0.0,0.0,4.03,12.71,-33.909446,151.093638,-33.931823,151.142138
D0009,b519dbed-1b7e-484b-9aac-5bea2783010f,2025-09-16,2025-09-16T16:57:00,2025-09-16T17:08:00,0,0,1,0,INNER,Inner West,INNER,Inner West,1.224,1,12.48,11,5.0,4.92,9.3,23.52,2.73,0.0,5.66,20.59,-33.887358,151.121769,-33.909217,151.128746
